city,timestamp,temperature,season
New York,2010-01-01,-0.5760268832221789,winter
New York,2010-01-02,-3.053230090679495,winter
New York,2010-01-03,-0.6296905054826029,winter
New York,2010-01-04,2.9856351998893005,winter
New York,2010-01-05,1.524137437710735,winter
New York,2010-01-06,9.092376012545515,winter
New York,2010-01-07,4.345741968000805,winter
New York,2010-01-08,2.718546749609057,winter
New York,2010-01-09,-3.752457505653979,winter
New York,2010-01-10,8.843203710138456,winter
New York,2010-01-11,1.6793528145087206,winter
New York,2010-01-12,-4.772964508769246,winter
New York,2010-01-13,5.097881901393274,winter
New York,2010-01-14,1.8464598283784546,winter
New York,2010-01-15,3.637748931070894,winter
New York,2010-01-16,-4.198633800594506,winter
New York,2010-01-17,-1.960755234851025,winter
New York,2010-01-18,-4.357280011844335,winter
New York,2010-01-19,1.1553670169752068,winter
New York,2010-01-20,8.856606129455988,winter
New York,2010-01-21,-2.191843364970432,winter
New York,2010-01-22,2.727619882174438,winter
New York,2010-01-23,1.1478411560922563,winter
New York,2010-01-24,-1.7924638595164288,winter
New York,2010-01-25,-0.5741020321513377,winter
New York,2010-01-26,2.2290915907128834,winter
New York,2010-01-27,1.0129949084865455,winter
New York,2010-01-28,-1.7634644482478168,winter
New York,2010-01-29,-4.757097317682541,winter
New York,2010-01-30,-5.240742460115133,winter
New York,2010-01-31,1.3440784915623722,winter
New York,2010-02-01,2.8021785347686863,winter
New York,2010-02-02,6.456242948176606,winter
New York,2010-02-03,0.2273089662404758,winter
New York,2010-02-04,-2.6977124136495556,winter
New York,2010-02-05,4.738158438626678,winter
New York,2010-02-06,4.180600864277572,winter
New York,2010-02-07,-4.525160118704608,winter
New York,2010-02-08,-2.445537967669061,winter
New York,2010-02-09,11.859120512614737,winter
New York,2010-02-10,6.630281230320331,winter
New York,2010-02-11,3.612263799471982,winter
New York,2010-02-12,-0.4842961434529905,winter
New York,2010-02-13,1.6029580357328568,winter
New York,2010-02-14,3.7676517166864305,winter
New York,2010-02-15,2.090248822505601,winter
New York,2010-02-16,-1.8723309203220801,winter
New York,2010-02-17,3.459695295982412,winter
New York,2010-02-18,-1.0974057212826471,winter
New York,2010-02-19,0.28976328783077276,winter
New York,2010-02-20,-3.6934983635262992,winter
New York,2010-02-21,0.8454750118589011,winter
New York,2010-02-22,2.8419344534852504,winter
New York,2010-02-23,-4.662959275155042,winter
New York,2010-02-24,-4.110538543221577,winter
New York,2010-02-25,-5.198615024865942,winter
New York,2010-02-26,9.351032569446938,winter
New York,2010-02-27,-2.187132256486785,winter
New York,2010-02-28,2.5654526347178224,winter
New York,2010-03-01,7.685981130469415,spring
